,Distance,Run,Missingness,Replicate,CCC,Rand,aRand
107,mesquita_eed,uniform_halflowestscalars,60,42,0.7976539238955282,0.98,0.9599960816486464
108,mesquita_eed,uniform_halflowestscalars,60,41,0.8073208223094606,0.98,0.9599960816486464
109,mesquita_eed,uniform_halflowestscalars,60,40,0.8091856505683692,1.0,1.0
110,mesquita_eed,uniform_halflowestscalars,60,39,0.8166952717130028,0.98,0.9599960816486464
111,mesquita_eed,uniform_halflowestscalars,60,38,0.7971043255321465,0.98,0.9599960816486464
112,mesquita_eed,uniform_halflowestscalars,60,37,0.8207608512679605,1.0,1.0
113,mesquita_eed,uniform_halflowestscalars,60,36,0.8074780638702845,0.98,0.9599960816486464
114,mesquita_eed,uniform_halflowestscalars,60,35,0.7931825111431463,0.9604040404040404,0.9208012930401136
115,mesquita_eed,uniform_halflowestscalars,60,34,0.7349998076205402,0.9224242424242424,0.8448427857772554
116,mesquita_eed,uniform_halflowestscalars,60,33,0.82172582925923,0.4951515151515152,0.0
117,mesquita_eed,uniform_halflowestscalars,60,32,0.7579932830661307,0.98,0.9599960816486464
118,mesquita_eed,uniform_halflowestscalars,60,31,0.7975412476441217,0.98,0.9599960816486464
119,mesquita_eed,uniform_halflowestscalars,60,30,0.8190513864925648,1.0,1.0
120,mesquita_eed,uniform_halflowestscalars,60,29,0.7925272428755591,0.9604040404040404,0.9208
121,mesquita_eed,uniform_halflowestscalars,60,28,0.7947130473716276,0.98,0.9599960816486464
122,mesquita_eed,uniform_halflowestscalars,60,27,0.8255158770814736,1.0,1.0
123,mesquita_eed,uniform_halflowestscalars,60,26,0.7642860595012713,0.9412121212121212,0.8824127248460211
124,mesquita_eed,uniform_halflowestscalars,60,25,0.8184458943319634,0.98,0.9599960816486464
125,mesquita_eed,uniform_halflowestscalars,60,24,0.8231804101582286,1.0,1.0
126,mesquita_eed,uniform_halflowestscalars,60,23,0.7809166049201737,0.98,0.9599960816486464
127,mesquita_eed,uniform_halflowestscalars,60,22,0.7749089703383385,0.98,0.9599960816486464
128,mesquita_eed,uniform_halflowestscalars,60,21,0.7994248107681969,0.98,0.9599960816486464
129,mesquita_eed,uniform_halflowestscalars,60,20,0.7860584140810014,1.0,1.0
130,mesquita_eed,uniform_halflowestscalars,60,19,0.8136537846597885,0.98,0.9599960816486464
131,mesquita_eed,uniform_halflowestscalars,60,18,0.8007998284012171,0.98,0.9599960816486464
132,mesquita_eed,uniform_halflowestscalars,60,17,0.817278914055146,1.0,1.0
133,mesquita_eed,uniform_halflowestscalars,60,16,0.8183699446462398,1.0,1.0
134,mesquita_eed,uniform_halflowestscalars,60,15,0.8029848373752193,0.98,0.9599960816486464
135,mesquita_eed,uniform_halflowestscalars,60,14,0.7818129590979579,0.98,0.9599960816486464
136,mesquita_eed,uniform_halflowestscalars,60,13,0.7736411732460933,0.98,0.9599960816486464
137,mesquita_eed,uniform_halflowestscalars,60,12,0.8312423497100528,0.98,0.9599960816486464
138,mesquita_eed,uniform_halflowestscalars,60,11,0.8153441420383231,1.0,1.0
139,mesquita_eed,uniform_halflowestscalars,60,10,0.7917850381942433,1.0,1.0
140,mesquita_eed,uniform_halflowestscalars,60,9,0.8012551265283194,0.98,0.9599960816486464
141,mesquita_eed,uniform_halflowestscalars,60,8,0.8195134755367216,1.0,1.0
142,mesquita_eed,uniform_halflowestscalars,60,7,0.7870158654431989,1.0,1.0
143,mesquita_eed,uniform_halflowestscalars,60,6,0.7740347523550987,1.0,1.0
