ProtID,P10,P13,P14,P24,P29,P3,P31,P36,P42,P43,P44,P46,P47,P49,P53,P11,P12,P15,P17,P18,P19,P2,P20,P21,P22,P23,P26,P30,P32,P34,P37,P4,P40,P45,P48,P5,P50,P51,P52,P6,P9
Q5JTH9;Q5JTH9-2;Q5JTH9-3,-1.31238853931427,-1.16658389568329,-1.35383427143097,-1.33371877670288,-0.596564710140228,-1.29456472396851,-1.51156198978424,-1.01157414913177,-0.194313615560532,-0.412403970956802,-1.51093447208405,-1.35610473155975,-1.22526144981384,-1.18483114242554,-1.02700555324554,-0.752172350883484,-0.579162955284119,-0.724516689777374,-0.772967576980591,-0.178412154316902,-0.648561418056488,-0.395062208175659,-0.505245864391327,-0.488431215286255,-0.945640325546265,-1.17798411846161,-0.765755414962769,-0.371341854333878,-0.481644183397293,-1.51143753528595,-0.636988639831543,-0.485358744859695,-0.241098403930664,-0.536030173301697,-0.182084158062935,-0.208543330430985,-0.791355192661285,-0.902050971984863,-0.975023627281189,-0.30963608622551,-1.08618700504303
Q9NRG7-2;Q9NRG7,NaN,-0.0755927562713623,0.539790451526642,0.952797770500183,2.42172002792358,NaN,0.355315297842026,NaN,1.56799244880676,-0.542326927185059,0.687665402889252,0.742395281791687,0.702357828617096,NaN,-0.222168639302254,1.09129166603088,1.32837188243866,2.65377259254456,2.09155416488647,2.29294061660767,1.89937078952789,2.00110340118408,2.56558108329773,1.97483921051025,NaN,0.553712606430054,1.30583477020264,1.36156725883484,2.44067025184631,NaN,1.58671021461487,NaN,2.08168768882751,1.72471308708191,1.7936989068985,1.99181354045868,2.26794695854187,1.47697949409485,NaN,1.84384274482727,1.32623970508575
Q9H0A0;Q9H0A0-2,-0.888566315174103,-1.08438873291016,-1.86594998836517,-1.70783138275146,-0.433961182832718,-1.03085613250732,-1.77466869354248,-1.59775495529175,-0.211998552083969,-1.04391717910767,-1.74045598506927,-1.64470088481903,-1.52735280990601,-2.34257745742798,-1.1551867723465,-1.19548666477203,-0.552321374416351,-0.979610621929169,-0.576407432556152,0.0915540233254433,-0.758231997489929,-0.388081133365631,-0.354343622922897,-0.607541084289551,-1.62118828296661,-0.90056973695755,-0.484358161687851,0.0969865471124649,-0.0653738528490067,-1.58203065395355,-0.892634212970734,-1.49191188812256,-0.186480596661568,-0.800565361976624,-0.188911482691765,-0.269004285335541,-0.802692532539368,-0.680337190628052,-1.11731684207916,-0.372761338949203,-0.968154788017273
Q9H0S4;Q9H0S4-2,-0.778513550758362,-1.01859200000763,-2.0423424243927,-2.01347041130066,-0.586883246898651,-1.16772389411926,-1.46405208110809,-1.56461215019226,-0.0945539996027946,-0.868664383888245,-1.65030574798584,-2.07484197616577,-1.63399255275726,-2.01792597770691,-1.15124082565308,-0.997623324394226,-0.443625032901764,-0.692358732223511,-0.865432024002075,-0.0267842132598162,-0.793354213237762,-0.502739250659943,-0.46746289730072,-0.421760976314545,-1.65719401836395,-0.82933384180069,-0.205130770802498,-0.00948580261319876,-0.114109769463539,-1.81971049308777,-0.506142675876617,-1.77330303192139,-0.232585668563843,-0.589068531990051,-0.0455929227173328,-0.180869042873383,-0.834010541439056,-0.556462526321411,-1.02337288856506,-0.265399634838104,-1.06583917140961
Q03701,-1.01805031299591,-1.16460514068604,-2.46123886108398,-2.01294422149658,-0.48858842253685,-1.36577022075653,-1.57717859745026,-1.66812288761139,-0.236582264304161,-1.12681949138641,-2.15816712379456,-2.27077341079712,-1.82539093494415,-2.07088828086853,-1.33548593521118,-1.18898725509644,-0.774751484394073,-1.10193848609924,-0.74720972776413,0.167690232396126,-0.896023571491241,-0.542633056640625,-0.415027111768723,-0.576558887958527,-1.98347747325897,-1.26612389087677,-0.663312315940857,-0.353701025247574,-0.140067234635353,-1.8562867641449,-0.600250899791718,-1.63546240329742,-0.0807693377137184,-0.759285271167755,-0.132829278707504,-0.151191309094429,-0.959520220756531,-0.928965866565704,-1.35925102233887,-0.334257185459137,-0.884194910526276
A3KMH1-3;A3KMH1;A3KMH1-2,-0.626145005226135,-0.0343055166304111,0.605169355869293,-0.571217894554138,0.895791292190552,0.307315289974213,-1.57898783683777,-1.10950660705566,0.132773518562317,-1.16945838928223,-0.489301353693008,0.0444756411015987,0.240065068006516,-0.582073926925659,0.32246071100235,0.374430656433105,0.289708524942398,NaN,1.01235520839691,1.19280624389648,0.0231864303350449,0.9301917552948,1.21272492408752,-1.1188178062439,0.19670957326889,0.767616331577301,-0.438714534044266,0.740873754024506,1.31117796897888,0.169116586446762,0.302062213420868,0.0507570914924145,1.66790914535522,0.765493810176849,0.935791254043579,1.43367767333984,0.367601960897446,0.88731324672699,0.225550785660744,0.0648710280656815,1.23439311981201
Q6DKI1;Q6DKI1-2,-0.915066421031952,-0.616701364517212,-1.89302396774292,-1.71195447444916,-0.521724283695221,-1.10657203197479,-1.82394874095917,-1.46286928653717,-0.440926373004913,-1.0312796831131,-1.97932171821594,-1.88263595104218,-1.47780334949493,-1.93587565422058,-1.3152494430542,-0.992365956306458,-0.572317481040955,-0.759740710258484,-0.84727144241333,-0.229344770312309,-0.698194026947021,-0.551468968391418,-0.398556917905808,-0.637991428375244,-1.65814924240112,-1.35890018939972,-0.336737841367722,-0.167703747749329,-0.200352430343628,-1.7282247543335,-0.787245213985443,-1.29209125041962,-0.5854651927948,-0.857918679714203,-0.004730851855129,-0.27297705411911,-0.993302464485168,-0.992715358734131,-0.958469271659851,-0.161160379648209,-0.749823391437531
Q15118;Q15118-2,-0.539192140102386,-0.831942200660706,0.339674144983292,-0.785384774208069,1.09884989261627,-0.353758096694946,-2.71522235870361,-0.573287606239319,1.4295140504837,0.0362365953624249,-0.462036222219467,0.107583403587341,-0.176381155848503,-0.752892732620239,0.132602706551552,-0.190661162137985,1.29950380325317,0.546842217445374,2.26793241500854,0.423865646123886,0.668365359306335,1.10016775131226,0.678573310375214,0.0992451310157776,-1.24197387695313,-0.409525483846664,2.41587686538696,2.56701231002808,2.07690668106079,-0.527067065238953,2.22855591773987,NaN,1.62498188018799,0.183368027210236,2.22895836830139,2.54107785224915,0.0219626743346453,1.18092775344849,0.808755338191986,-0.346089392900467,0.683000266551971
Q96GQ7,-0.503895938396454,-0.597574830055237,-1.69719982147217,-1.58763194084167,-0.250425666570663,-1.22369396686554,-1.74915480613709,-1.41869795322418,-0.164972379803658,-0.837126553058624,-1.65798342227936,-1.84275710582733,-1.48160815238953,-1.71025955677032,-1.06509709358215,-0.995276212692261,-0.336231589317322,-0.479885309934616,-0.488384634256363,0.171853393316269,-0.657674074172974,-0.262081444263458,-0.181350842118263,-0.246521770954132,-1.65965640544891,-1.05648517608643,-0.151345819234848,-0.0359896309673786,-0.161354660987854,-1.62510514259338,-0.713424444198608,-1.22609055042267,-0.0767035782337189,-0.66980242729187,0.0741407498717308,-0.102051928639412,-0.751932501792908,-0.535201489925385,-0.970746695995331,-0.059378195554018,-0.485777407884598
Q9BQG0;Q9BQG0-2,-0.478785306215286,-0.550400793552399,-1.54891335964203,-1.43957257270813,-0.0503302291035652,-1.1220041513443,-1.12345910072327,-1.21250379085541,0.00791206583380699,-0.907623589038849,-1.4183098077774,-1.69289231300354,-1.2188948392868,-1.61149084568024,-0.653070211410522,-0.709665477275848,-0.443966031074524,-0.625499129295349,-0.431161791086197,0.252953767776489,-0.370621204376221,-0.21598993241787,-0.0742778927087784,-0.386657387018204,-1.3681423664093,-0.999732613563538,-0.0823749452829361,0.13718219101429,-0.134721383452415,-1.44457745552063,-0.324908822774887,-0.766467094421387,0.20249180495739,-0.491160124540329,0.362698793411255,0.146100148558617,-0.506958425045013,-0.409501433372498,-0.792741596698761,-0.0851621851325035,-0.356385439634323
Q9Y3B9,-1.39287042617798,-1.13462913036346,-2.62434339523315,-2.24887084960938,-0.916840016841888,-1.46526050567627,-2.18561458587646,-1.78849768638611,-0.120244368910789,-1.24532699584961,-2.23559761047363,-2.33913779258728,-2.06818270683289,-2.37241840362549,-1.36682295799255,-1.40947365760803,-0.678112208843231,-1.30416166782379,-1.23570930957794,-0.260664522647858,-0.914200305938721,-0.690760552883148,-0.431193083524704,-0.821961104869843,-2.21103286743164,-1.5892778635025,-0.644415557384491,-0.254297912120819,-0.0952010527253151,-1.90833973884583,-0.727081894874573,-1.96604442596436,-0.466548830270767,-0.811272621154785,-0.281555622816086,-0.43602654337883,-1.07728481292725,-0.925470471382141,-1.29638040065765,-0.448048263788223,-1.12879455089569
Q9Y3T9,-1.12183034420013,-1.35980725288391,-2.56552791595459,-2.16391944885254,-0.426291733980179,-1.52562582492828,-1.91759943962097,-1.99585938453674,-0.384582728147507,-1.34534752368927,-2.63544487953186,-2.32391119003296,-1.78615295886993,-2.65466165542603,-1.53858387470245,-1.2636137008667,-0.861476480960846,-0.93631911277771,-0.76659494638443,-0.219529867172241,-1.33057129383087,-0.536190211772919,-0.558682084083557,-0.437940716743469,-2.23790740966797,-1.85147261619568,-0.492928355932236,-0.396513909101486,-0.230052977800369,-2.19244241714478,-0.723425149917603,-1.78452813625336,-0.204941317439079,-0.905243694782257,-0.0498170927166939,-0.395351886749268,-1.62153470516205,-1.06504893302917,-0.9513059258461,-0.349210470914841,-0.959910213947296
Q9BVJ6;Q9BVJ6-3;Q9BVJ6-2,-1.03157472610474,-0.827421367168427,-1.96778500080109,-1.47760319709778,-0.507313847541809,-1.27533769607544,-1.66571795940399,-1.3674738407135,-0.243494227528572,-1.06517243385315,-1.91036474704742,-2.04786610603333,-1.49441254138947,-1.92406558990479,-1.24093103408813,-1.23866653442383,-0.626989483833313,-0.720111489295959,-1.03044641017914,-0.40002715587616,-0.612786054611206,-0.52276349067688,-0.299098819494247,-0.620369791984558,-1.56882953643799,-1.1972599029541,-0.470637500286102,-0.342926859855652,-0.26887708902359,-1.86167085170746,-0.707447171211243,-1.17436456680298,-0.215016007423401,-0.904663443565369,0.198883086442947,-0.227700486779213,-1.12965774536133,-0.80530172586441,-1.19469583034515,-0.0766551122069359,-0.781222403049469
P12318-2;P12318,NaN,NaN,1.35727453231812,1.13734698295593,NaN,1.27401340007782,NaN,0.952783286571503,NaN,1.22456872463226,1.12299454212189,1.09976637363434,0.743747591972351,1.51713621616364,0.84324449300766,NaN,NaN,-0.705296158790588,0.669744074344635,NaN,0.0802323445677757,1.10660874843597,-0.89116233587265,-0.50627201795578,0.686031401157379,0.260031580924988,NaN,NaN,NaN,0.910061657428741,-1.23132252693176,0.540013790130615,NaN,NaN,-0.245693132281303,NaN,1.76012456417084,0.305733025074005,NaN,NaN,NaN
Q15397,-1.10980713367462,-0.959645867347717,-1.71331536769867,-1.91165494918823,-0.749142110347748,-1.5339914560318,-2.16790080070496,-1.71671450138092,-0.487902373075485,-1.10068869590759,-1.80792903900146,-2.14983344078064,-1.77793765068054,-2.15426754951477,-1.2730792760849,-1.19238984584808,-0.675598740577698,-1.12577271461487,-1.12440383434296,-0.252510905265808,-0.702900171279907,-0.614139139652252,-0.575302004814148,-0.786154687404633,-2.15789365768433,-1.28411829471588,-0.531491219997406,-0.203533604741097,-0.501133143901825,-1.98343002796173,-0.89332115650177,-1.67386305332184,-0.501168131828308,-0.712907552719116,-0.0225782096385956,-0.53938901424408,-1.64975380897522,-1.06122696399689,-1.08257913589478,-0.261950850486755,-0.99861603975296
P78316;P78316-2,-1.23954105377197,-0.935322403907776,-2.70579361915588,-1.81430375576019,-0.794127345085144,-1.87671542167664,-2.08374619483948,-1.64995992183685,-0.500070810317993,-1.21507263183594,-1.92834258079529,-2.27803206443787,-1.58612239360809,-2.37900686264038,-1.73604774475098,-1.42285430431366,-0.784470856189728,-1.14804244041443,-1.47649908065796,-0.374145895242691,-1.05546152591705,-0.787569582462311,-0.499178379774094,-0.833655297756195,-1.95502245426178,-1.33467996120453,-0.856545209884644,-0.379215985536575,-0.307893544435501,-2.16636919975281,-0.905639111995697,-1.83067774772644,-0.365572780370712,-0.856809496879578,-0.263628393411636,-0.497811794281006,-1.33305907249451,-1.15223336219788,-0.864019274711609,-0.21334220468998,-1.29603636264801
Q16850;Q16850-2,-1.73650205135345,-2.47000694274902,-3.38112258911133,-1.56249928474426,-3.29258871078491,-2.8103187084198,-4.35106468200684,-1.96463477611542,-2.74760174751282,-2.4698851108551,-3.15315914154053,-3.52023696899414,-2.68739247322083,-3.7376275062561,-2.47589802742004,-3.65355324745178,-2.59283685684204,-1.34738028049469,-2.02368807792664,-0.960889995098114,-2.19066858291626,-0.851691722869873,-2.65592694282532,-1.83778715133667,-3.37110137939453,-1.39712584018707,-1.41809916496277,-0.72777396440506,-0.890480756759644,-2.49583673477173,-3.10950875282288,-1.28111958503723,-1.34916067123413,-1.34928905963898,-1.6364369392395,-2.51665282249451,-2.52473187446594,-2.90491247177124,-1.77600979804993,-0.90835702419281,-2.17829585075378
Q9BVP2-2;Q9BVP2,-1.13917136192322,-1.19611883163452,-2.39403247833252,-2.3815701007843,-0.703358829021454,-1.13675045967102,-2.79184603691101,-1.84418928623199,-0.75393158197403,-1.5259747505188,-2.5805721282959,-2.48929262161255,-2.02704954147339,-2.31634306907654,-1.84232079982758,-1.15121924877167,-0.611594498157501,-1.22982323169708,-1.04654216766357,-0.612957119941711,-0.716444253921509,-0.989695370197296,-0.699439108371735,-0.783422946929932,-2.26613354682922,-1.95754241943359,-0.632189333438873,-0.36961442232132,-0.34358936548233,-2.82192468643188,-0.848332285881042,-1.86984193325043,-0.325845241546631,-0.919127821922302,-0.0414620861411095,-0.499224334955215,-1.91694700717926,-1.44095551967621,-1.11060476303101,-0.229605376720428,-1.08651435375214
Q8NEJ9-2;Q8NEJ9,-0.713663935661316,-0.75642192363739,-1.94296252727509,-1.76005876064301,-0.159787192940712,-0.924444973468781,-1.50187766551971,-1.76671648025513,-0.113669387996197,-0.950064063072205,-3.29820537567139,-1.91234850883484,-1.41588759422302,-1.82787764072418,-1.19094169139862,-1.12180483341217,-0.11574936658144,-0.359699726104736,-0.577351093292236,0.208395764231682,-0.554844617843628,-0.446486473083496,0.0663537830114365,-0.340625256299973,-1.54993271827698,-1.18573892116547,-0.16527396440506,0.0858199223875999,-0.0276138167828321,-1.59150242805481,-0.662145733833313,-1.52276587486267,0.0752632692456245,-0.773700773715973,0.271190136671066,-0.0510096848011017,-0.655738353729248,-0.768698871135712,-0.484884589910507,-0.0297473911195993,-0.503500819206238
Q8WTT2,-1.06366777420044,-1.4051228761673,-2.4796257019043,-2.01143312454224,-0.266690045595169,-1.37568616867065,-2.19230055809021,-1.93078589439392,-0.431628912687302,-1.24515771865845,-2.68876457214355,-2.58533048629761,-1.82169950008392,-3.1861207485199,-1.3197854757309,-1.25205445289612,-0.82688981294632,-0.614750146865845,-0.661344170570374,-0.343976646661758,-1.37366855144501,-0.60022509098053,-0.321964830160141,-0.157225281000137,-2.38926410675049,-2.25984787940979,-0.32669523358345,-0.366597861051559,-0.0621648170053959,-2.10505938529968,-0.453568488359451,-1.24934411048889,-0.0110884718596935,-0.614626169204712,0.258201628923416,-0.375040799379349,-2.13023400306702,-1.06612873077393,-0.82859742641449,-0.321866065263748,-0.864262282848358
Q96CM8-3;Q96CM8;Q96CM8-2;Q96CM8-4,1.1028653383255,0.445617526769638,0.460316240787506,0.610538184642792,0.460385292768478,0.489003509283066,1.20036566257477,0.121602199971676,2.01019048690796,0.220258459448814,0.558785438537598,0.353877276182175,0.637270152568817,0.192675977945328,0.55517441034317,1.34671664237976,1.68700563907623,-0.161991566419601,0.532186686992645,1.23218250274658,0.923668205738068,0.77038848400116,2.30516290664673,1.51417422294617,0.299241930246353,1.44323825836182,0.967459976673126,1.09308290481567,2.26790547370911,1.06662356853485,1.15367984771729,1.37034451961517,1.84055852890015,0.599661886692047,1.68106985092163,1.70391201972961,1.06491267681122,1.86520481109619,1.33193290233612,0.693926215171814,0.936232686042786
Q14690,-0.867348313331604,-0.843958020210266,-2.18469882011414,-1.67087388038635,-0.241219937801361,-1.25369083881378,-2.09498476982117,-1.49655747413635,-0.162292256951332,-0.993119120597839,-2.03490996360779,-2.01561450958252,-1.50359678268433,-2.12420988082886,-1.11809074878693,-1.15775752067566,-0.517211437225342,-0.969661474227905,-0.561780393123627,0.0271157547831535,-0.600979924201965,-0.368440508842468,-0.170985490083694,-0.57412987947464,-1.91098070144653,-1.29798662662506,-0.530023813247681,-0.0333162434399128,0.0529539473354816,-1.65170776844025,-0.632605016231537,-1.41819632053375,-0.213760852813721,-0.793761909008026,0.126225009560585,-0.239218428730965,-0.99665355682373,-0.741400599479675,-1.02675020694733,-0.107981078326702,-0.587682723999023
P09874,0.412723660469055,0.221132650971413,-1.00480532646179,-0.720664978027344,0.264152675867081,-0.269102245569229,-1.03151571750641,-1.20772123336792,0.120052821934223,-0.717900693416595,-1.00567698478699,-0.945774734020233,-0.443276673555374,-1.05710911750793,-0.124877341091633,-0.535680711269379,0.211007684469223,0.51375550031662,0.29769179224968,0.683543145656586,-0.213386863470078,0.160738721489906,0.813564956188202,0.677675187587738,-0.899605691432953,-0.25847989320755,0.975551545619965,1.90158581733704,0.714876353740692,-0.66604483127594,-0.183019757270813,-1.35898494720459,0.535142064094543,-0.310964554548264,0.652718663215637,0.608242332935333,-0.227969199419022,0.381889402866364,-0.435425788164139,0.533774614334106,0.182180851697922
Q15050,-1.31658208370209,-1.13259744644165,-2.06625318527222,-2.26373147964478,-0.476847410202026,-1.17136681079865,-2.28344297409058,-1.60776805877686,-0.269960790872574,-1.22662627696991,-2.51043009757996,-2.35048913955688,-1.9222127199173,-2.23263430595398,-1.60177731513977,-1.04685521125793,-0.546193718910217,-0.95670211315155,-1.00971710681915,-0.307620376348495,-0.954275906085968,-0.727025866508484,-0.0992045700550079,-0.655835628509521,-1.74872028827667,-1.98014664649963,-0.622330605983734,-0.44627919793129,-0.329101949930191,-2.57269954681396,-0.874331533908844,-0.894433498382568,-0.191343888640404,-0.87189108133316,0.207959935069084,-0.372994422912598,-1.38430559635162,-1.55658030509949,-1.13532364368439,-0.356448203325272,-1.05142426490784
P35754,2.18811774253845,NaN,NaN,2.20757532119751,1.90922367572784,1.64397716522217,2.98379063606262,2.41519618034363,1.12519001960754,NaN,2.78932023048401,2.04602098464966,2.35247230529785,1.83494222164154,NaN,2.53932595252991,1.83768653869629,1.34424209594727,0.369327634572983,-0.468147188425064,2.27404594421387,NaN,0.815893590450287,0.715804934501648,2.43572044372559,0.172178983688354,NaN,NaN,NaN,2.30766034126282,2.41951632499695,NaN,0.537518322467804,0.90671980381012,0.285453885793686,1.25546061992645,-0.0663561820983887,-0.283423006534576,3.04586005210876,-0.316583335399628,1.87952148914337
Q9BXY0,-1.92317712306976,-1.5074235200882,-2.0291919708252,-2.55230140686035,-0.786007165908813,-1.38140428066254,-2.78621530532837,-1.95152258872986,-0.527773022651672,-1.15945029258728,-2.47044730186462,-2.60578060150146,-2.0739369392395,-2.87785625457764,-1.54787755012512,-1.21247088909149,-0.696442186832428,-1.43179798126221,-0.987884938716888,-0.451076179742813,-1.16559970378876,-0.789721846580505,-0.314427316188812,-0.839939713478088,-2.34379911422729,-2.09962606430054,-0.961673855781555,-0.587044835090637,-0.604990482330322,-2.63445568084717,-0.875950813293457,-1.39683151245117,-0.614340007305145,-1.01505219936371,-0.269187808036804,-0.564942181110382,-1.82236838340759,-1.44513738155365,-1.56136167049408,-0.447124511003494,-1.28565955162048
