Majority protein IDs,Intensity MDAMB231 Biol. repl. 1,Intensity MDAMB231 Biol. repl. 2,Intensity MDAMB231 Biol. repl. 3,Intensity MDAMB231 Biol. repl. 4,Intensity LM2 Biol. repl. 1,Intensity LM2 Biol. repl. 2,Intensity LM2 Biol. repl. 3,Intensity LM2 Biol. repl. 4,Intensity BT549 Biol. repl. 1,Intensity BT549 Biol. repl. 2,Intensity BT549 Biol. repl. 3,Intensity BT549 Biol. repl. 4,Intensity Hs578T Biol. repl. 1,Intensity Hs578T Biol. repl. 2,Intensity Hs578T Biol. repl. 3,Intensity Hs578T Biol. repl. 4,Intensity HCC1419 Biol. repl. 1,Intensity HCC1419 Biol. repl. 2,Intensity HCC1419 Biol. repl. 3,Intensity HCC1419 Biol. repl. 4,Intensity HCC1954 Biol. repl. 1,Intensity HCC1954 Biol. repl. 2,Intensity HCC1954 Biol. repl. 3,Intensity HCC1954 Biol. repl. 4,Intensity JIMT1 Biol. repl. 1,Intensity JIMT1 Biol. repl. 2,Intensity JIMT1 Biol. repl. 3,Intensity JIMT1 Biol. repl. 4,Intensity SKBR3 Biol. repl. 1,Intensity SKBR3 Biol. repl. 2,Intensity SKBR3 Biol. repl. 3,Intensity SKBR3 Biol. repl. 4,Intensity MCF7 Biol. repl. 1,Intensity MCF7 Biol. repl. 2,Intensity MCF7 Biol. repl. 3,Intensity MCF7 Biol. repl. 4,Intensity MCF10A Biol. repl. 1,Intensity MCF10A Biol. repl. 2,Intensity MCF10A Biol. repl. 3,Intensity MCF10A Biol. repl. 4,ANOVA Significant
,MDAMB231,MDAMB231,MDAMB231,MDAMB231,LM2,LM2,LM2,LM2,BT549,BT549,BT549,BT549,Hs578T,Hs578T,Hs578T,Hs578T,HCC1419,HCC1419,HCC1419,HCC1419,HCC1954,HCC1954,HCC1954,HCC1954,JIMT1,JIMT1,JIMT1,JIMT1,SKBR3,SKBR3,SKBR3,SKBR3,MCF7,MCF7,MCF7,MCF7,MCF10A,MCF10A,MCF10A,MCF10A,
,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,TNBC,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,HER2,MCF7,MCF7,MCF7,MCF7,MCF10A,MCF10A,MCF10A,MCF10A,
P19827,-4.345344,-1.596226,-4.915967,-4.751173,-4.306201,-5.184052,-5.871533,-4.950046,-5.108912,-3.972119,-2.887953,-4.559407,-3.258048,-5.143049,-4.485693,-3.693816,-4.22276,-5.481536,-4.289845,-4.639224,-5.176154,-4.916,-3.782672,-5.321987,-5.609998,-5.34759,-5.328446,-4.188757,-5.702594,-5.26511,-5.734486,-5.138945,-4.505018,-5.81962,-4.122211,-4.722156,-1.12937,-1.620449,-0.4506397,-1.225754,+
P19838,-1.759014,-1.476225,-1.862307,-0.8391438,-6.393568,-2.601309,-5.27906,-1.811069,-1.237476,-3.182505,-2.935989,-2.594999,-5.469891,-5.373319,-2.72411,-3.18799,-1.977802,-2.285793,-1.858431,-2.206039,-0.2625179,-0.1722527,-0.3441982,-0.9741745,-0.9594917,-2.274029,-5.511323,-0.1421165,-0.393795,0.06846237,-0.3734493,-0.4950676,-1.462671,-1.006632,-1.494396,-3.762955,-0.7309208,-0.9033813,-1.389101,-0.6893425,
P19883,-0.9194794,-0.4780712,-0.6942253,-0.8548622,0.02641678,0.6612606,0.8444862,0.1409969,-3.751044,-3.704656,-4.595695,-4.088512,-2.324879,1.841396,1.882248,0.3625069,-4.085176,-5.563869,-4.462256,-5.032112,-1.631069,-2.740511,-3.840885,-2.543882,-4.974939,-6.168624,-5.612965,-4.886081,-4.223083,-4.459861,-4.344333,-4.638373,-5.382451,-3.769115,-3.909391,-5.700036,-2.806779,-5.170653,-4.614584,-4.704809,+
P19971,-4.274934,-2.703863,-4.277646,-2.782495,-4.056129,-4.950937,-5.527745,-6.454054,-3.434649,-4.250494,-4.381499,-3.825715,-3.770716,-5.953465,-4.947739,-5.291321,-5.756831,-4.835399,-3.942533,-4.411668,-2.21936,-5.005442,-2.848377,-4.618968,-3.557609,-6.160873,-4.920377,-4.079142,0.3667736,0.9409065,0.1777534,0.8480663,-5.175167,-4.815775,-3.904595,-4.670415,-5.912324,-3.985635,-3.718997,-4.299066,
P20020,5.442877,5.414846,5.221199,5.220604,5.63534,5.489616,5.513988,5.734623,4.508039,5.149389,5.271976,4.94886,3.601076,4.457407,3.968071,3.734112,4.067238,4.764191,4.579691,4.520699,4.665405,4.547972,4.565947,4.695948,3.922907,3.903835,4.037266,4.173468,5.056538,4.777864,4.630857,4.626209,7.034304,6.659151,6.854033,6.741026,4.383276,4.752794,4.542753,4.601583,+
P20042,-0.08488083,-0.27701,0.4040432,0.06614876,-0.4522839,0.2439785,-0.5978966,-0.09054184,0.8372517,0.7031555,0.8873672,-0.3097668,0.6818695,-0.3362579,-0.2971611,1.272083,0.3278465,0.8882942,0.6487274,1.032743,1.427605,1.538166,1.416298,1.389681,2.563068,2.846491,2.46398,2.624416,1.327904,1.034307,0.5518665,0.4953442,-0.2701893,0.6789455,-0.645052,-0.8903275,0.4731884,0.3385811,0.3577538,-0.7608719,+
P20073,2.832006,2.244232,2.195992,2.022726,2.116812,1.949717,1.595407,2.272848,2.629515,2.387213,2.880568,3.190878,1.92531,2.040167,1.962894,1.98245,4.209524,4.031235,4.015759,4.413189,3.695019,3.384172,3.691442,3.164299,3.84449,3.662315,3.000471,3.103519,5.356747,4.924416,5.177011,4.992794,3.396648,2.670418,2.953224,2.942688,2.302887,2.318163,2.849384,2.185574,+
P20290,2.368132,2.375607,2.204706,2.138506,-0.3124676,-0.2918148,-1.432829,1.368771,1.169353,-1.687799,0.7599773,-3.904308,-1.105883,-0.8265419,-1.440094,-4.982116,-0.6247063,-0.4483414,-2.417065,-0.05082703,2.625078,3.307083,3.447287,3.187031,2.825037,2.108158,2.309505,2.210999,1.765694,1.234016,3.214201,2.354261,-2.894317,0.1859703,-4.976442,-0.2435799,0.3629398,-0.2570419,-1.084354,0.3595314,
P20336,-3.687034,-4.962596,-4.235436,-3.565243,-5.724417,-2.830795,-4.043498,-5.899197,-4.079665,-4.508677,-3.407848,-3.689422,-6.181711,-4.631484,-6.78616,-4.874727,-1.159546,-1.372347,-1.098074,-2.609951,-6.437452,-5.764316,-5.051156,-6.143916,-4.222444,-3.993255,-4.665148,-4.164879,-5.318625,-4.036674,-5.259456,-4.969461,-0.6910591,-0.6532669,-2.43712,-2.181929,-5.848244,-4.585854,-2.980711,-4.079201,+
P20338,-2.521914,-2.598963,-5.191572,-2.202356,-5.226799,-5.585978,-2.769337,-3.012804,-4.243347,-1.744986,-3.099031,-3.675479,-4.969705,-4.502438,-5.703342,-3.6296,-2.973314,-3.345395,-3.299204,-5.481759,-3.716399,-2.245079,-1.195021,-2.840799,-2.473778,-3.268377,-2.46007,-4.008323,-2.129808,-2.102837,-2.679327,-3.4709,-4.511915,-5.248666,-4.977167,-5.34637,-4.630015,-1.393728,-4.292754,-4.362715,
